C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:26:CLOSE | XAUUSD | SELL | 4826.93 | 4827.97 | -0.52 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:299:CLOSE | XAUUSD | BUY | 4826.73 | 4828.74 | +1.00 | WIN
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:375:CLOSE | XAUUSD | BUY | 4828.14 | 4829.76 | +0.57 | WIN
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:675:CLOSE | XAUUSD | SELL | 4831.84 | 4833.03 | -0.60 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:1008:CLOSE | XAUUSD | SELL | 4830.97 | 4832.19 | -0.61 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:1264:CLOSE | XAUUSD | BUY | 4833.03 | 4837.84 | +2.40 | WIN
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:1454:CLOSE | XAUUSD | SELL | 4838.70 | 4841.63 | -1.47 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:1456:CLOSE | XAUUSD | SELL | 4837.90 | 4841.63 | -1.31 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:2216:CLOSE | XAUUSD | SELL | 4837.15 | 4838.17 | -0.51 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:2567:CLOSE | XAUUSD | BUY | 4837.98 | 4839.54 | +0.55 | WIN
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:2609:CLOSE | XAUUSD | BUY | 4839.81 | 4838.15 | -0.41 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:2851:CLOSE | XAUUSD | BUY | 4838.17 | 4839.81 | +0.82 | WIN
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:3009:CLOSE | XAUUSD | BUY | 4840.03 | 4838.46 | -0.55 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:3275:CLOSE | XAUUSD | SELL | 4836.05 | 4837.12 | -0.37 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:3636:CLOSE | XAUUSD | SELL | 4834.96 | 4836.05 | -0.38 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:4104:CLOSE | XAUUSD | SELL | 4835.14 | 4836.17 | -0.26 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:4198:CLOSE | XAUUSD | SELL | 4835.98 | 4837.22 | -0.43 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:4778:CLOSE | XAUUSD | SELL | 4836.89 | 4837.94 | -0.52 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:5127:CLOSE | XAUUSD | BUY | 4841.62 | 4843.28 | +0.83 | WIN
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:5189:CLOSE | XAUUSD | BUY | 4843.08 | 4841.24 | -0.64 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:5669:CLOSE | XAUUSD | BUY | 4838.90 | 4840.67 | +0.88 | WIN
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:5902:CLOSE | XAUUSD | BUY | 4840.55 | 4838.94 | -0.80 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:6307:CLOSE | XAUUSD | BUY | 4839.62 | 4837.87 | -0.87 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:6489:CLOSE | XAUUSD | BUY | 4836.84 | 4834.64 | -1.10 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:6628:CLOSE | XAUUSD | SELL | 4833.81 | 4835.08 | -0.63 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:7140:CLOSE | XAUUSD | SELL | 4835.23 | 4836.30 | -0.37 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:7166:CLOSE | XAUUSD | SELL | 4836.16 | 4837.51 | -0.67 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:7549:CLOSE | XAUUSD | BUY | 4839.53 | 4837.63 | -0.95 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:8138:CLOSE | XAUUSD | BUY | 4838.40 | 4836.75 | -0.82 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:8303:CLOSE | XAUUSD | SELL | 4836.67 | 4837.87 | -0.60 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:8444:CLOSE | XAUUSD | SELL | 4837.37 | 4838.82 | -0.72 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:9174:CLOSE | XAUUSD | SELL | 4838.00 | 4835.97 | +1.01 | WIN
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:9921:CLOSE | XAUUSD | BUY | 4835.73 | 4834.11 | -0.81 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:10125:CLOSE | XAUUSD | BUY | 4835.04 | 4833.37 | -0.83 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:10306:CLOSE | XAUUSD | SELL | 4831.12 | 4832.29 | -0.58 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:10657:CLOSE | XAUUSD | SELL | 4832.73 | 4833.76 | -0.51 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:11417:CLOSE | XAUUSD | BUY | 4836.24 | 4837.85 | +0.80 | WIN
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:11442:CLOSE | XAUUSD | BUY | 4837.62 | 4839.05 | +0.50 | WIN
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:11589:CLOSE | XAUUSD | SELL | 4839.03 | 4840.10 | -0.53 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:12262:CLOSE | XAUUSD | SELL | 4840.47 | 4841.52 | -0.52 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:12539:CLOSE | XAUUSD | SELL | 4840.31 | 4841.52 | -0.60 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:12840:CLOSE | XAUUSD | SELL | 4841.00 | 4842.06 | -0.37 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:13176:CLOSE | XAUUSD | SELL | 4841.14 | 4842.27 | -0.40 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:13663:CLOSE | XAUUSD | SELL | 4841.77 | 4839.76 | +1.00 | WIN
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:13790:CLOSE | XAUUSD | SELL | 4840.14 | 4841.40 | -0.44 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:14616:CLOSE | XAUUSD | SELL | 4838.53 | 4839.81 | -0.45 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:15101:CLOSE | XAUUSD | SELL | 4840.60 | 4841.66 | -0.53 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:15642:CLOSE | XAUUSD | SELL | 4839.50 | 4840.62 | -0.39 | LOSS
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:15694:CLOSE | XAUUSD | SELL | 4841.34 | 4839.32 | +1.01 | WIN
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:16132:CLOSE | XAUUSD | BUY | 4840.89 | 4842.61 | +0.86 | WIN
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:17384:CLOSE | XAUUSD | BUY | 4841.96 | 4843.46 | +0.52 | WIN
C:\Users\Leo\mt5-ai-trading-supervisor\run_log.txt:17386:CLOSE | XAUUSD | BUY | 4841.88 | 4843.46 | +0.55 | WIN
